,Sample.Name,File.Name,A.CT.mean,Acer.CT.mean,A.CT.sd,Acer.CT.sd,A.reps,Acer.reps,A.Acer,Sample.Plate,Treatment,Replicate,Fragment,Genotype,Date,Days,qPCR_Date,Sample,logA.SH,RanA,
381,Sample 17,Plate28.csv,22.4235,23.0315,0.1153,0.2171,2,2,0.4091,Sample 17_Plate28.csv,Control,R2,152,Orange,2017-11-15,0,2018-03-28,152_2017-11-15,-0.3881653342,2,
481,Sample 14,Plate7.csv,23.1935,20.525,1.0967,0.1216,2,2,0.0422,Sample 14_Plate7.csv,Control,R2,152,Orange,2017-12-14,29,2018-04-24,152_2017-12-14,-1.374490115,2,
114,Sample 13,Plate15.csv,24.569,23.736,0.5162,0.1754,2,2,0.1507,Sample 13_Plate15.csv,Control,R2,152,Orange,2018-01-29,75,2018-02-09,152_2018-01-29,-0.821949558,2,
213,Sample 1,Plate20.csv,25.7575,23.45,0.3062,0.3606,2,2,0.0542,Sample 1_Plate20.csv,Control,R2,152,Orange,2018-02-23,100,2018-03-13,152_2018-02-23,-1.2658182866,2,
382,Sample 18,Plate28.csv,22.6865,21.47,0.0643,0.0057,2,2,0.1155,Sample 18_Plate28.csv,Control,R2,160,Orange,2017-11-15,0,2018-03-28,160_2017-11-15,-0.9373945613,2,
482,Sample 15,Plate7.csv,22.0415,20.1655,0.2015,0.2779,2,2,0.0731,Sample 15_Plate7.csv,Control,R2,160,Orange,2017-12-14,29,2018-04-24,160_2017-12-14,-1.1359238434,2,
115,Sample 14,Plate15.csv,24.403,24.092,0.2121,0.1584,2,2,0.2164,Sample 14_Plate15.csv,Control,R2,160,Orange,2018-01-29,75,2018-02-09,160_2018-01-29,-0.6648119002,2,
224,Sample 2,Plate20.csv,25.4095,22.509,0.2072,0.0792,2,2,0.0359,Sample 2_Plate20.csv,Control,R2,160,Orange,2018-02-23,100,2018-03-13,160_2018-02-23,-1.444329074,2,
309,Sample 9,Plate24.csv,24.5515,20.8425,0.0969,0.2143,2,2,0.0205,Sample 9_Plate24.csv,Control,R2,160,Orange,2018-03-06,111,2018-03-22,160_2018-03-06,-1.6877118255,2,
370,Sample 7,Plate27.csv,23.13,22.422,0.0382,0.1952,2,2,0.1643,Sample 7_Plate27.csv,NP,R1,184,Green,2017-11-15,0,2018-03-28,184_2017-11-15,-0.7843208085,2,
19,Sample 6,Plate10.csv,22.0645,20.177,0.5523,0.0382,2,2,0.0725,Sample 6_Plate10.csv,NP,R1,184,Green,2017-12-14,29,2018-04-25,184_2017-12-14,-1.1393856884,2,
104,Sample 4,Plate14.csv,23.491,22.4285,0.041,0.3373,2,2,0.1285,Sample 4_Plate14.csv,NP,R1,184,Green,2018-01-29,75,2018-02-09,184_2018-01-29,-0.891035942,2,
209,Sample 6,Plate19.csv,25.355,23.153,0.0778,0.0467,2,2,0.0583,Sample 6_Plate19.csv,NP,R1,184,Green,2018-02-23,100,2018-03-12,184_2018-02-23,-1.234059622,2,
529,Sample 18,Plate9.csv,23.7115,20.893,0.1068,0.1655,2,2,0.0381,Sample 18_Plate9.csv,N,R2,265,Red and Orange,2017-12-14,29,2018-04-25,265_2017-12-14,-1.4196446144,2,
137,Sample 15,Plate16.csv,24.854,24.168,0.0707,0.0566,2,2,0.1668,Sample 15_Plate16.csv,N,R2,265,Red and Orange,2018-01-29,75,2018-02-09,265_2018-01-29,-0.7776981486,2,
245,Sample 22,Plate21.csv,22.966,23.1065,0.0834,0.2369,2,2,0.2526,Sample 22_Plate21.csv,N,R2,265,Red and Orange,2018-02-05,82,2018-03-13,265_2018-02-05,-0.5976382547,2,
170,Sample 15,Plate18.csv,24.3335,24.7535,0.3471894296,0.0459619408,2,2,0.359121186,Sample 15_Plate18.csv,Control,R1,273,Red and Orange,2018-02-23,100,2018-03-12,273_2018-02-23,-0.4447589734,2,2
