Stage3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Stage2, Step2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Well,Omit,Sample Name,Target Name,Task,Reporter,Quencher,C_,Ct Mean,Ct SD,Quantity,Quantity Mean,Quantity SD,Y-Intercept,R(superscript 2),Slope,Efficiency,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Amp Status,Comments,Cq Conf,CQCONF,MTP,EXPFAIL,HIGHSD,NOAMP,Tm1,Tm2,Tm3,Tm4
A1,0,NTC,Acer,UNKNOWN,SYBR,None,Undetermined,,,,,,,,,,0,0.200,1,3,39,No Amp,,0.000,Y,Y,Y,N,Y,84.147,93.275,89.888,87.533
A2,0,+,A,UNKNOWN,SYBR,None,22.414,22.549,0.191,,,,,,,,0,0.200,1,3,18,Amp,,0.994,N,Y,N,N,N,85.472,83.116,,
A3,0,Sample 7,Acer,UNKNOWN,SYBR,None,19.902,20.062,0.227,,,,,,,,0,0.200,1,3,15,Amp,,0.986,N,N,N,N,N,74.724,,,
A4,0,Sample 7,A,UNKNOWN,SYBR,None,22.551,22.616,0.092,,,,,,,,0,0.200,1,3,18,Amp,,0.974,N,N,N,N,N,85.913,,,
A5,0,Sample 7,Acer,UNKNOWN,SYBR,None,20.223,20.062,0.227,,,,,,,,0,0.200,1,3,16,Amp,,0.988,N,N,N,N,N,74.577,,,
A6,0,Sample 7,A,UNKNOWN,SYBR,None,22.681,22.616,0.092,,,,,,,,0,0.200,1,3,17,Amp,,0.980,N,N,N,N,N,85.619,,,
A7,0,Sample 15,Acer,UNKNOWN,SYBR,None,Undetermined,,,,,,,,,,0,0.200,1,3,39,No Amp,,0.000,Y,Y,Y,N,Y,89.152,83.852,,
A8,0,Sample 15,A,UNKNOWN,SYBR,None,Undetermined,,,,,,,,,,0,0.200,1,3,35,No Amp,,0.000,Y,Y,N,N,N,76.785,88.711,,
A9,0,Sample 15,Acer,UNKNOWN,SYBR,None,Undetermined,,,,,,,,,,0,0.200,1,3,39,No Amp,,0.000,Y,Y,Y,N,Y,79.877,86.061,89.447,93.422
A10,0,Sample 15,A,UNKNOWN,SYBR,None,Undetermined,,,,,,,,,,0,0.200,1,3,35,No Amp,,0.000,Y,Y,N,N,N,87.680,75.313,82.380,93.275
