D:\Users\INSTR-ADMIN\experiments\Ana\Nutrients\Acer_Nutrients_Plate27.eds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acer_Nutrients_Plate27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-28 09:16:56 AM PDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standard Curve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      172310454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172310454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuantStudio™ 3 System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stage3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Stage2, Step2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Well,Omit,Sample Name,Target Name,Task,Reporter,Quencher,C_,Ct Mean,Ct SD,Quantity,Quantity Mean,Quantity SD,Y-Intercept,R(superscript 2),Slope,Efficiency,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Amp Status,Comments,Cq Conf,CQCONF,MTP,EXPFAIL,HIGHSD,Tm1,Tm2,Tm3,Tm4
A1,0,NTC,Acer,UNKNOWN,SYBR,None,Undetermined,,,,,,,,,,0,0.200,1,3,39,No Amp,,0.000,Y,N,Y,N,60.001,,,
A2,0,+,A,UNKNOWN,SYBR,None,22.537,22.661,0.176,,,,,,,,0,0.200,1,3,17,Amp,,0.987,N,N,N,N,85.530,,,
A3,0,Sample 7,Acer,UNKNOWN,SYBR,None,22.560,22.422,0.195,,,,,,,,0,0.200,1,3,17,Amp,,0.998,N,N,N,N,74.398,,,
A4,0,Sample 7,A,UNKNOWN,SYBR,None,23.103,23.130,0.038,,,,,,,,0,0.200,1,3,18,Amp,,0.996,N,N,N,N,85.975,,,
A5,0,Sample 7,Acer,UNKNOWN,SYBR,None,22.284,22.422,0.195,,,,,,,,0,0.200,1,3,16,Amp,,0.997,N,N,N,N,74.398,,,
A6,0,Sample 7,A,UNKNOWN,SYBR,None,23.157,23.130,0.038,,,,,,,,0,0.200,1,3,18,Amp,,0.996,N,N,N,N,85.678,,,
A7,0,Sample 15,Acer,UNKNOWN,SYBR,None,22.175,22.263,0.124,,,,,,,,0,0.200,1,3,17,Amp,,0.998,N,N,N,N,74.546,,,
A8,0,Sample 15,A,UNKNOWN,SYBR,None,21.875,21.855,0.028,,,,,,,,0,0.200,1,3,16,Amp,,0.962,N,N,N,N,85.827,,,
A9,0,Sample 15,Acer,UNKNOWN,SYBR,None,22.351,22.263,0.124,,,,,,,,0,0.200,1,3,17,Amp,,0.998,N,N,N,N,74.546,,,
A10,0,Sample 15,A,UNKNOWN,SYBR,None,21.835,21.855,0.028,,,,,,,,0,0.200,1,3,17,Amp,,0.979,N,N,N,N,85.827,,,
A11,0,+,Acer,UNKNOWN,SYBR,None,20.527,20.697,0.241,,,,,,,,0,0.200,1,3,15,Amp,,0.989,N,N,N,N,74.398,,,
A12,0,NTC,A,UNKNOWN,SYBR,None,Undetermined,,,,,,,,,,0,0.200,1,3,39,No Amp,,0.000,Y,Y,Y,N,88.944,92.358,79.296,81.968
B1,0,Sample 1,Acer,UNKNOWN,SYBR,None,21.607,21.706,0.140,,,,,,,,0,0.200,1,3,16,Amp,,0.991,N,N,N,N,74.398,,,
B2,0,Sample 1,A,UNKNOWN,SYBR,None,22.701,22.833,0.187,,,,,,,,0,0.200,1,3,17,Amp,,0.989,N,N,N,N,85.382,,,
B3,0,Sample 1,Acer,UNKNOWN,SYBR,None,21.805,21.706,0.140,,,,,,,,0,0.200,1,3,16,Amp,,0.996,N,N,N,N,74.398,,,
B4,0,Sample 1,A,UNKNOWN,SYBR,None,22.965,22.833,0.187,,,,,,,,0,0.200,1,3,18,Amp,,0.990,N,N,N,N,85.678,,,
B5,0,Sample 8,Acer,UNKNOWN,SYBR,None,22.626,22.666,0.056,,,,,,,,0,0.200,1,3,18,Amp,,0.995,N,N,N,N,74.398,,,
B6,0,Sample 8,A,UNKNOWN,SYBR,None,22.802,22.812,0.015,,,,,,,,0,0.200,1,3,18,Amp,,0.992,N,N,N,N,85.678,,,
B7,0,Sample 8,Acer,UNKNOWN,SYBR,None,22.705,22.666,0.056,,,,,,,,0,0.200,1,3,17,Amp,,0.999,N,N,N,N,74.546,,,
B8,0,Sample 8,A,UNKNOWN,SYBR,None,22.823,22.812,0.015,,,,,,,,0,0.200,1,3,17,Amp,,0.985,N,N,N,N,85.827,,,
B9,0,Sample 16,Acer,UNKNOWN,SYBR,None,22.584,22.605,0.029,,,,,,,,0,0.200,1,3,18,Amp,,0.995,N,N,N,N,74.546,,,
B10,0,Sample 16,A,UNKNOWN,SYBR,None,23.572,23.568,0.006,,,,,,,,0,0.200,1,3,18,Amp,,0.997,N,N,N,N,85.678,,,
B11,0,Sample 16,Acer,UNKNOWN,SYBR,None,22.625,22.605,0.029,,,,,,,,0,0.200,1,3,17,Amp,,0.998,N,N,N,N,74.398,,,
B12,0,Sample 16,A,UNKNOWN,SYBR,None,23.563,23.568,0.006,,,,,,,,0,0.200,1,3,18,Amp,,0.995,N,N,N,N,85.530,,,
C1,0,Sample 2,Acer,UNKNOWN,SYBR,None,22.449,22.530,0.116,,,,,,,,0,0.200,1,3,18,Amp,,0.996,N,N,N,N,74.250,,,
C2,0,Sample 2,A,UNKNOWN,SYBR,None,22.717,22.832,0.163,,,,,,,,0,0.200,1,3,17,Amp,,0.996,N,N,N,N,85.382,,,
C3,0,Sample 2,Acer,UNKNOWN,SYBR,None,22.612,22.530,0.116,,,,,,,,0,0.200,1,3,16,Amp,,0.997,N,N,N,N,74.398,,,
C4,0,Sample 2,A,UNKNOWN,SYBR,None,22.948,22.832,0.163,,,,,,,,0,0.200,1,3,17,Amp,,0.992,N,N,N,N,85.678,,,
C5,0,Sample 9,Acer,UNKNOWN,SYBR,None,22.477,22.672,0.275,,,,,,,,0,0.200,1,3,16,Amp,,0.996,N,N,N,N,74.398,,,
C6,0,Sample 9,A,UNKNOWN,SYBR,None,22.676,22.770,0.133,,,,,,,,0,0.200,1,3,17,Amp,,0.996,N,N,N,N,85.530,,,
C7,0,Sample 9,Acer,UNKNOWN,SYBR,None,22.866,22.672,0.275,,,,,,,,0,0.200,1,3,18,Amp,,0.999,N,N,N,N,74.398,,,
C8,0,Sample 9,A,UNKNOWN,SYBR,None,22.865,22.770,0.133,,,,,,,,0,0.200,1,3,17,Amp,,0.994,N,N,N,N,85.678,,,
C9,0,Sample 17,Acer,UNKNOWN,SYBR,None,21.999,21.915,0.120,,,,,,,,0,0.200,1,3,17,Amp,,0.998,N,N,N,N,74.398,,,
C10,0,Sample 17,A,UNKNOWN,SYBR,None,23.089,23.013,0.107,,,,,,,,0,0.200,1,3,18,Amp,,0.964,N,N,N,N,85.678,,,
C11,0,Sample 17,Acer,UNKNOWN,SYBR,None,21.830,21.915,0.120,,,,,,,,0,0.200,1,3,16,Amp,,0.995,N,N,N,N,74.398,,,
C12,0,Sample 17,A,UNKNOWN,SYBR,None,22.938,23.013,0.107,,,,,,,,0,0.200,1,3,18,Amp,,0.989,N,N,N,N,85.530,,,
D1,0,Sample 3,Acer,UNKNOWN,SYBR,None,21.404,21.617,0.301,,,,,,,,0,0.200,1,3,16,Amp,,0.997,N,N,N,N,74.250,,,
D2,0,Sample 3,A,UNKNOWN,SYBR,None,22.912,22.999,0.124,,,,,,,,0,0.200,1,3,18,Amp,,0.995,N,N,N,N,85.233,,,
D3,0,Sample 3,Acer,UNKNOWN,SYBR,None,21.830,21.617,0.301,,,,,,,,0,0.200,1,3,16,Amp,,0.998,N,N,N,N,74.398,,,
D4,0,Sample 3,A,UNKNOWN,SYBR,None,23.087,22.999,0.124,,,,,,,,0,0.200,1,3,18,Amp,,0.996,N,N,N,N,85.530,,,
D5,0,Sample 10,Acer,UNKNOWN,SYBR,None,22.538,22.467,0.101,,,,,,,,0,0.200,1,3,17,Amp,,0.998,N,N,N,N,74.398,,,
D6,0,Sample 10,A,UNKNOWN,SYBR,None,22.348,22.397,0.069,,,,,,,,0,0.200,1,3,16,Amp,,0.994,N,N,N,N,85.530,,,
D7,0,Sample 10,Acer,UNKNOWN,SYBR,None,22.396,22.467,0.101,,,,,,,,0,0.200,1,3,17,Amp,,0.997,N,N,N,N,74.546,,,
D8,0,Sample 10,A,UNKNOWN,SYBR,None,22.445,22.397,0.069,,,,,,,,0,0.200,1,3,17,Amp,,0.996,N,N,N,N,85.678,,,
D9,0,Sample 18,Acer,UNKNOWN,SYBR,None,22.308,22.274,0.049,,,,,,,,0,0.200,1,3,17,Amp,,0.997,N,N,N,N,74.398,,,
D10,0,Sample 18,A,UNKNOWN,SYBR,None,23.588,23.435,0.217,,,,,,,,0,0.200,1,3,18,Amp,,0.946,N,N,N,N,85.678,,,
D11,0,Sample 18,Acer,UNKNOWN,SYBR,None,22.239,22.274,0.049,,,,,,,,0,0.200,1,3,17,Amp,,0.997,N,N,N,N,74.398,,,
D12,0,Sample 18,A,UNKNOWN,SYBR,None,23.281,23.435,0.217,,,,,,,,0,0.200,1,3,17,Amp,,0.960,N,N,N,N,85.382,,,
E1,0,Sample 4,Acer,UNKNOWN,SYBR,None,31.594,31.899,0.431,,,,,,,,0,0.200,1,3,25,Amp,,0.997,N,N,N,N,74.250,,,
