"Stage2, Step2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Well,Omit,Sample Name,Target Name,Task,Reporter,Quencher,C_,Ct Mean,Ct SD,Quantity,Quantity Mean,Quantity SD,Y-Intercept,R(superscript 2),Slope,Efficiency,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Amp Status,Comments,Cq Conf,CQCONF,MTP,EXPFAIL,NOAMP,Tm1,Tm2,Tm3,Tm4
A1,0,NTC,Acer,UNKNOWN,SYBR,None,Undetermined,,,,,,,,,,0,0.200,1,3,39,No Amp,,0.000,Y,Y,Y,Y,89.530,82.408,86.711,92.498
A2,0,+,A,UNKNOWN,SYBR,None,22.408,22.398,0.013,,,,,,,,0,0.200,1,3,18,Amp,,0.991,N,N,N,N,85.079,,,
A3,0,Sample 7,Acer,UNKNOWN,SYBR,None,24.385,24.511,0.178,,,,,,,,0,0.200,1,3,20,Amp,,0.998,N,N,N,N,74.395,,,
A4,0,Sample 7,A,UNKNOWN,SYBR,None,23.328,23.532,0.289,,,,,,,,0,0.200,1,3,18,Amp,,0.997,N,N,N,N,85.524,,,
A5,0,Sample 7,Acer,UNKNOWN,SYBR,None,24.636,24.511,0.178,,,,,,,,0,0.200,1,3,19,Amp,,0.999,N,N,N,N,74.247,,,
A6,0,Sample 7,A,UNKNOWN,SYBR,None,23.736,23.532,0.289,,,,,,,,0,0.200,1,3,19,Amp,,0.981,N,N,N,N,85.227,,,
A7,0,Sample 15,Acer,UNKNOWN,SYBR,None,22.128,22.290,0.230,,,,,,,,0,0.200,1,3,16,Amp,,0.996,N,N,N,N,74.247,,,
A8,0,Sample 15,A,UNKNOWN,SYBR,None,24.578,24.423,0.219,,,,,,,,0,0.200,1,3,19,Amp,,0.997,N,N,N,N,85.376,,,
A9,0,Sample 15,Acer,UNKNOWN,SYBR,None,22.452,22.290,0.230,,,,,,,,0,0.200,1,3,17,Amp,,0.997,N,N,N,N,74.395,,,
A10,0,Sample 15,A,UNKNOWN,SYBR,None,24.269,24.423,0.219,,,,,,,,0,0.200,1,3,19,Amp,,0.996,N,N,N,N,85.524,,,
A11,0,+,Acer,UNKNOWN,SYBR,None,22.458,22.532,0.105,,,,,,,,0,0.200,1,3,17,Amp,,0.996,N,N,N,N,74.099,,,
A12,0,NTC,A,UNKNOWN,SYBR,None,Undetermined,,,,,,,,,,0,0.200,1,3,26,No Amp,,0.000,Y,Y,N,Y,86.711,82.260,91.459,
B1,0,Sample 1,Acer,UNKNOWN,SYBR,None,22.314,22.600,0.404,,,,,,,,0,0.200,1,3,17,Amp,,0.995,N,N,N,N,74.247,,,
B2,0,Sample 1,A,UNKNOWN,SYBR,None,23.729,23.852,0.173,,,,,,,,0,0.200,1,3,19,Amp,,0.996,N,N,N,N,84.931,,,
B3,0,Sample 1,Acer,UNKNOWN,SYBR,None,22.886,22.600,0.404,,,,,,,,0,0.200,1,3,18,Amp,,0.999,N,N,N,N,74.395,,,
B4,0,Sample 1,A,UNKNOWN,SYBR,None,23.974,23.852,0.173,,,,,,,,0,0.200,1,3,19,Amp,,0.997,N,N,N,N,85.227,,,
B5,0,Sample 8,Acer,UNKNOWN,SYBR,None,23.738,23.708,0.043,,,,,,,,0,0.200,1,3,19,Amp,,0.998,N,N,N,N,74.247,,,
B6,0,Sample 8,A,UNKNOWN,SYBR,None,23.617,23.728,0.157,,,,,,,,0,0.200,1,3,19,Amp,,0.975,N,N,N,N,85.079,,,
B7,0,Sample 8,Acer,UNKNOWN,SYBR,None,23.677,23.708,0.043,,,,,,,,0,0.200,1,3,18,Amp,,0.997,N,N,N,N,74.247,,,
B8,0,Sample 8,A,UNKNOWN,SYBR,None,23.838,23.728,0.157,,,,,,,,0,0.200,1,3,19,Amp,,0.914,N,N,N,N,85.079,,,
B9,0,Sample 16,Acer,UNKNOWN,SYBR,None,23.541,23.451,0.127,,,,,,,,0,0.200,1,3,19,Amp,,0.998,N,N,N,N,74.247,,,
B10,0,Sample 16,A,UNKNOWN,SYBR,None,23.929,24.097,0.237,,,,,,,,0,0.200,1,3,18,Amp,,0.997,N,N,N,N,85.376,,,
B11,0,Sample 16,Acer,UNKNOWN,SYBR,None,23.361,23.451,0.127,,,,,,,,0,0.200,1,3,17,Amp,,0.998,N,N,N,N,74.247,,,
B12,0,Sample 16,A,UNKNOWN,SYBR,None,24.265,24.097,0.237,,,,,,,,0,0.200,1,3,19,Amp,,0.996,N,N,N,N,85.079,,,
C1,0,Sample 2,Acer,UNKNOWN,SYBR,None,22.501,22.644,0.202,,,,,,,,0,0.200,1,3,17,Amp,,0.998,N,N,N,N,74.099,,,
C2,0,Sample 2,A,UNKNOWN,SYBR,None,23.002,23.167,0.233,,,,,,,,0,0.200,1,3,17,Amp,,0.994,N,N,N,N,84.931,,,
C3,0,Sample 2,Acer,UNKNOWN,SYBR,None,22.786,22.644,0.202,,,,,,,,0,0.200,1,3,17,Amp,,0.998,N,N,N,N,74.099,,,
C4,0,Sample 2,A,UNKNOWN,SYBR,None,23.331,23.167,0.233,,,,,,,,0,0.200,1,3,18,Amp,,0.996,N,N,N,N,85.227,,,
C5,0,Sample 9,Acer,UNKNOWN,SYBR,None,23.703,23.709,0.009,,,,,,,,0,0.200,1,3,19,Amp,,0.998,N,N,N,N,74.247,,,
C6,0,Sample 9,A,UNKNOWN,SYBR,None,23.444,23.448,0.006,,,,,,,,0,0.200,1,3,18,Amp,,0.996,N,N,N,N,85.227,,,
C7,0,Sample 9,Acer,UNKNOWN,SYBR,None,23.716,23.709,0.009,,,,,,,,0,0.200,1,3,18,Amp,,0.996,N,N,N,N,74.247,,,
C8,0,Sample 9,A,UNKNOWN,SYBR,None,23.453,23.448,0.006,,,,,,,,0,0.200,1,3,18,Amp,,0.997,N,N,N,N,85.376,,,
C9,0,Sample 17,Acer,UNKNOWN,SYBR,None,23.676,23.546,0.184,,,,,,,,0,0.200,1,3,18,Amp,,0.998,N,N,N,N,74.099,,,
C10,0,Sample 17,A,UNKNOWN,SYBR,None,22.574,22.694,0.169,,,,,,,,0,0.200,1,3,17,Amp,,0.974,N,N,N,N,85.376,,,
C11,0,Sample 17,Acer,UNKNOWN,SYBR,None,23.416,23.546,0.184,,,,,,,,0,0.200,1,3,18,Amp,,0.998,N,N,N,N,74.099,,,
C12,0,Sample 17,A,UNKNOWN,SYBR,None,22.814,22.694,0.169,,,,,,,,0,0.200,1,3,18,Amp,,0.996,N,N,N,N,85.079,,,
D1,0,Sample 3,Acer,UNKNOWN,SYBR,None,22.536,22.558,0.030,,,,,,,,0,0.200,1,3,17,Amp,,0.997,N,N,N,N,73.950,,,
D2,0,Sample 3,A,UNKNOWN,SYBR,None,23.478,23.725,0.349,,,,,,,,0,0.200,1,3,18,Amp,,0.991,N,N,N,N,84.931,,,
D3,0,Sample 3,Acer,UNKNOWN,SYBR,None,22.579,22.558,0.030,,,,,,,,0,0.200,1,3,17,Amp,,0.998,N,N,N,N,74.247,,,
D4,0,Sample 3,A,UNKNOWN,SYBR,None,23.972,23.725,0.349,,,,,,,,0,0.200,1,3,18,Amp,,0.997,N,N,N,N,85.079,,,
D5,0,Sample 10,Acer,UNKNOWN,SYBR,None,22.333,22.252,0.114,,,,,,,,0,0.200,1,3,17,Amp,,0.988,N,N,N,N,74.099,,,
D6,0,Sample 10,A,UNKNOWN,SYBR,None,22.700,22.723,0.033,,,,,,,,0,0.200,1,3,17,Amp,,0.910,N,N,N,N,84.931,,,
D7,0,Sample 10,Acer,UNKNOWN,SYBR,None,22.171,22.252,0.114,,,,,,,,0,0.200,1,3,16,Amp,,0.998,N,N,N,N,74.247,,,
D8,0,Sample 10,A,UNKNOWN,SYBR,None,22.746,22.723,0.033,,,,,,,,0,0.200,1,3,17,Amp,,0.968,N,N,N,N,85.079,,,
D9,0,Sample 18,Acer,UNKNOWN,SYBR,None,22.120,22.219,0.140,,,,,,,,0,0.200,1,3,17,Amp,,0.997,N,N,N,N,74.247,,,
D10,0,Sample 18,A,UNKNOWN,SYBR,None,22.609,22.670,0.087,,,,,,,,0,0.200,1,3,17,Amp,,0.995,N,N,N,N,85.227,,,
D11,0,Sample 18,Acer,UNKNOWN,SYBR,None,22.318,22.219,0.140,,,,,,,,0,0.200,1,3,17,Amp,,0.993,N,N,N,N,74.099,,,
D12,0,Sample 18,A,UNKNOWN,SYBR,None,22.732,22.670,0.087,,,,,,,,0,0.200,1,3,18,Amp,,0.994,N,N,N,N,85.079,,,
E1,0,Sample 4,Acer,UNKNOWN,SYBR,None,21.287,21.253,0.048,,,,,,,,0,0.200,1,3,17,Amp,,0.996,N,N,N,N,73.950,,,
E2,0,Sample 4,A,UNKNOWN,SYBR,None,24.204,23.950,0.360,,,,,,,,0,0.200,1,3,19,Amp,,0.997,N,N,N,N,84.782,,,
E3,0,Sample 4,Acer,UNKNOWN,SYBR,None,21.220,21.253,0.048,,,,,,,,0,0.200,1,3,16,Amp,,0.995,N,N,N,N,74.099,,,
E4,0,Sample 4,A,UNKNOWN,SYBR,None,23.695,23.950,0.360,,,,,,,,0,0.200,1,3,18,Amp,,0.994,N,N,N,N,85.079,,,
E5,0,Sample 11,Acer,UNKNOWN,SYBR,None,22.395,22.318,0.110,,,,,,,,0,0.200,1,3,17,Amp,,0.998,N,N,N,N,73.950,,,
E6,0,Sample 11,A,UNKNOWN,SYBR,None,23.373,23.216,0.222,,,,,,,,0,0.200,1,3,18,Amp,,0.839,N,N,N,N,85.079,,,
E7,0,Sample 11,Acer,UNKNOWN,SYBR,None,22.240,22.318,0.110,,,,,,,,0,0.200,1,3,16,Amp,,0.997,N,N,N,N,74.099,,,
E8,0,Sample 11,A,UNKNOWN,SYBR,None,23.059,23.216,0.222,,,,,,,,0,0.200,1,3,16,Amp,,0.858,N,N,N,N,85.079,,,
E9,0,Sample 19,Acer,UNKNOWN,SYBR,None,22.291,22.245,0.065,,,,,,,,0,0.200,1,3,17,Amp,,0.998,N,N,N,N,74.099,,,
E10,0,Sample 19,A,UNKNOWN,SYBR,None,22.688,22.674,0.020,,,,,,,,0,0.200,1,3,17,Amp,,0.996,N,N,N,N,85.079,,,
E11,0,Sample 19,Acer,UNKNOWN,SYBR,None,22.199,22.245,0.065,,,,,,,,0,0.200,1,3,17,Amp,,0.997,N,N,N,N,74.099,,,
E12,0,Sample 19,A,UNKNOWN,SYBR,None,22.659,22.674,0.020,,,,,,,,0,0.200,1,3,18,Amp,,0.994,N,N,N,N,84.931,,,
F1,0,Sample 5,Acer,UNKNOWN,SYBR,None,23.372,23.649,0.392,,,,,,,,0,0.200,1,3,18,Amp,,0.998,N,N,N,N,74.099,,,
F2,0,Sample 5,A,UNKNOWN,SYBR,None,24.536,24.318,0.307,,,,,,,,0,0.200,1,3,19,Amp,,0.997,N,N,N,N,84.931,,,
F3,0,Sample 5,Acer,UNKNOWN,SYBR,None,23.926,23.649,0.392,,,,,,,,0,0.200,1,3,17,Amp,,0.997,N,N,N,N,74.099,,,
F4,0,Sample 5,A,UNKNOWN,SYBR,None,24.101,24.318,0.307,,,,,,,,0,0.200,1,3,19,Amp,,0.996,N,N,N,N,85.079,,,
