Spp,Treatment,Replicate,Fragment,Genotype,Date,Days,Time_Point,Phase,Sample,A.Host,logA.SH,B.Host,C.Host,D.Host,TotalSH,logB.SH,logC.SH,logD.SH,logSH,D.Prp,Community
A.cer,A,R1,Ac_105,Red and Yellow,2017-11-15,0,T5,Baseline,Ac_105_T5,0.114430431012182,-0.941458466249159,0,0,0,0.114430431012182,NA,NA,NA,-0.941458466249159,,A
A.cer,A,R1,Ac_116,Green and Orange,2017-11-15,0,T5,Baseline,Ac_116_T5,0.406983629770169,-0.390423059186241,0,0,0,0.406983629770169,NA,NA,NA,-0.390423059186241,,A
A.cer,A,R1,Ac_122,Green and Orange,2017-11-15,0,T5,Baseline,Ac_122_T5,0.46669200929802,-0.330969635042605,0,0,0,0.46669200929802,NA,NA,NA,-0.330969635042605,,A
A.cer,A,R1,Ac_129,Green and Orange,2017-11-15,0,T5,Baseline,Ac_129_T5,0.303662922649904,-0.517608232354274,0,0,0,0.303662922649904,NA,NA,NA,-0.517608232354274,,A
A.cer,A,R1,Ac_143,Yellow,2017-11-15,0,T5,Baseline,Ac_143_T5,0.226965145880749,-0.644040830533146,0,0,0,0.226965145880749,NA,NA,NA,-0.644040830533146,,A
A.cer,A,R1,Ac_149,Orange,2017-11-15,0,T5,Baseline,Ac_149_T5,0.255260581193829,-0.5930162462681,0,0,0,0.255260581193829,NA,NA,NA,-0.5930162462681,,A
A.cer,A,R1,Ac_162,Red and Orange,2017-11-15,0,T5,Baseline,Ac_162_T5,0.11344324969223,-0.945221341194959,0,0,0,0.11344324969223,NA,NA,NA,-0.945221341194959,,A
A.cer,A,R1,Ac_169,Red and Orange,2017-11-15,0,T5,Baseline,Ac_169_T5,0.175743431114947,-0.755120898933154,0,0,0,0.175743431114947,NA,NA,NA,-0.755120898933154,,A
A.cer,A,R1,Ac_176,Green,2017-11-15,0,T5,Baseline,Ac_176_T5,0.310366052486853,-0.508125787490859,0,0,0,0.310366052486853,NA,NA,NA,-0.508125787490859,,A
A.cer,A,R1,Ac_182,Green,2017-11-15,0,T5,Baseline,Ac_182_T5,0.425149654558215,-0.371458169459411,0,0,0,0.425149654558215,NA,NA,NA,-0.371458169459411,,A
A.cer,A,R1,Ac_189,Green,2017-11-15,0,T5,Baseline,Ac_189_T5,0.427069469480569,-0.369501474487594,0,0,0,0.427069469480569,NA,NA,NA,-0.369501474487594,,A
A.cer,A,R1,Ac_204,Red and Yellow,2017-11-15,0,T5,Baseline,Ac_204_T5,0.07631141408204,-1.11741049871476,0,0,0,0.07631141408204,NA,NA,NA,-1.11741049871476,,A
A.cer,A,R1,Ac_220,Green and Orange,2017-11-15,0,T5,Baseline,Ac_220_T5,0.232861279426904,-0.632902720693579,0,0,0,0.232861279426904,NA,NA,NA,-0.632902720693579,,A
A.cer,A,R1,Ac_226,Green and Orange,2017-11-15,0,T5,Baseline,Ac_226_T5,0.201806237389838,-0.695065414798191,0,0,0,0.201806237389838,NA,NA,NA,-0.695065414798191,,A
A.cer,A,R1,Ac_248,Orange,2017-11-15,0,T5,Baseline,Ac_248_T5,0.300001718655779,-0.522876257278394,0,0,0,0.300001718655779,NA,NA,NA,-0.522876257278394,,A
A.cer,A,R1,Ac_261,Red and Orange,2017-11-15,0,T5,Baseline,Ac_261_T5,0.114867507837329,-0.939802801273008,0,0,0,0.114867507837329,NA,NA,NA,-0.939802801273008,,A
A.cer,A,R1,Ac_267,Red and Orange,2017-11-15,0,T5,Baseline,Ac_267_T5,0.102773674535102,-0.988118115577077,0,0,0,0.102773674535102,NA,NA,NA,-0.988118115577077,,A
A.cer,A,R1,Ac_273,Red and Orange,2017-11-15,0,T5,Baseline,Ac_273_T5,0.094965195123738,-1.02243553508277,0,0,0,0.094965195123738,NA,NA,NA,-1.02243553508277,,A
A.cer,A,R1,Ac_281,Green,2017-11-15,0,T5,Baseline,Ac_281_T5,0.173925656424154,-0.759636348868115,0,0,0,0.173925656424154,NA,NA,NA,-0.759636348868115,,A
A.cer,A,R1,Ac_287,Green,2017-11-15,0,T5,Baseline,Ac_287_T5,0.560405364345022,-0.251497716187313,0,0,0,0.560405364345022,NA,NA,NA,-0.251497716187313,,A
A.cer,A,R2,Ac_102,Red and Yellow,2017-11-15,0,T5,Baseline,Ac_102_T5,0.193988451107999,-0.712224124551037,0,0,0,0.193988451107999,NA,NA,NA,-0.712224124551037,,A
A.cer,A,R2,Ac_108,Red and Yellow,2017-11-15,0,T5,Baseline,Ac_108_T5,0.374631124878494,-0.426396143668087,0,0,0,0.374631124878494,NA,NA,NA,-0.426396143668087,,A
A.cer,A,R2,Ac_119,Green and Orange,2017-11-15,0,T5,Baseline,Ac_119_T5,0.319091629886396,-0.496084587664299,0,0,0,0.319091629886396,NA,NA,NA,-0.496084587664299,,A
A.cer,A,R2,Ac_125,Green and Orange,2017-11-15,0,T5,Baseline,Ac_125_T5,0.169404331766311,-0.771075488703346,0,0,0,0.169404331766311,NA,NA,NA,-0.771075488703346,,A
A.cer,A,R2,Ac_152,Orange,2017-11-15,0,T5,Baseline,Ac_152_T5,0.367303021932878,-0.434975498544511,0,0,0,0.367303021932878,NA,NA,NA,-0.434975498544511,,A
A.cer,A,R2,Ac_160,Orange,2017-11-15,0,T5,Baseline,Ac_160_T5,0.11789240396475,-0.928514176435607,0,0,0,0.11789240396475,NA,NA,NA,-0.928514176435607,,A
A.cer,A,R2,Ac_166,Red and Orange,2017-11-15,0,T5,Baseline,Ac_166_T5,0.272729501276429,-0.564267881682191,0,0,0,0.272729501276429,NA,NA,NA,-0.564267881682191,,A
A.cer,A,R2,Ac_173,Red and Orange,2017-11-15,0,T5,Baseline,Ac_173_T5,0.11482770469049,-0.939953316270839,0,0,0,0.11482770469049,NA,NA,NA,-0.939953316270839,,A
A.cer,A,R2,Ac_179,Green,2017-11-15,0,T5,Baseline,Ac_179_T5,0.243423890395612,-0.613636800971083,0,0,0,0.243423890395612,NA,NA,NA,-0.613636800971083,,A
A.cer,A,R2,Ac_186,Green,2017-11-15,0,T5,Baseline,Ac_186_T5,0.577159779243223,-0.238703941371596,0,0,0,0.577159779243223,NA,NA,NA,-0.238703941371596,,A
A.cer,A,R2,Ac_217,Green and Orange,2017-11-15,0,T5,Baseline,Ac_217_T5,0.394758619009687,-0.403668378995457,0,0,0,0.394758619009687,NA,NA,NA,-0.403668378995457,,A
A.cer,A,R2,Ac_223,Green and Orange,2017-11-15,0,T5,Baseline,Ac_223_T5,0.344611480716178,-0.462670258145596,0,0,0,0.344611480716178,NA,NA,NA,-0.462670258145596,,A
A.cer,A,R2,Ac_231,Yellow,2017-11-15,0,T5,Baseline,Ac_231_T5,0.149533711234739,-0.825260887922863,0,0,0,0.149533711234739,NA,NA,NA,-0.825260887922863,,A
A.cer,A,R2,Ac_264,Red and Orange,2017-11-15,0,T5,Baseline,Ac_264_T5,0.359619378866786,-0.444156913412263,0,0,0,0.359619378866786,NA,NA,NA,-0.444156913412263,,A
A.cer,A,R2,Ac_270,Red and Orange,2017-11-15,0,T5,Baseline,Ac_270_T5,0.239740021049723,-0.62025946087569,0,0,0,0.239740021049723,NA,NA,NA,-0.62025946087569,,A
A.cer,A,R2,Ac_277,Green,2017-11-15,0,T5,Baseline,Ac_277_T5,0.712292976939409,-0.147341337687576,0,0,0,0.712292976939409,NA,NA,NA,-0.147341337687576,,A
A.cer,A,R2,Ac_284,Green,2017-11-15,0,T5,Baseline,Ac_284_T5,0.499668325038112,-0.301318180469703,0,0,0,0.499668325038112,NA,NA,NA,-0.301318180469703,,A
A.cer,A,R2,Ac_290,Green,2017-11-15,0,T5,Baseline,Ac_290_T5,0.321756828332264,-0.492472227716332,0,0,0,0.321756828332264,NA,NA,NA,-0.492472227716332,,A
A.cer,N,R1,Ac_106,Red and Yellow,2017-11-15,0,T5,Baseline,Ac_106_T5,0.193518402593131,-0.713277729535862,0,0,0,0.193518402593131,NA,NA,NA,-0.713277729535862,,A
A.cer,N,R1,Ac_117,Green and Orange,2017-11-15,0,T5,Baseline,Ac_117_T5,0.072220022040296,-1.14134238337004,0,0,0,0.072220022040296,NA,NA,NA,-1.14134238337004,,A
A.cer,N,R1,Ac_123,Green and Orange,2017-11-15,0,T5,Baseline,Ac_123_T5,0.138412166836429,-0.858825732439396,0,0,0,0.138412166836429,NA,NA,NA,-0.858825732439396,,A
