Sample,TotalSH,logSH,D.Prp,Community,Previous sample
Ac_105_T5,0.114430431012182,-0.941458466249159,,A,Ac_105_T5
Ac_116_T5,0.406983629770169,-0.390423059186241,,A,Ac_116_T5
Ac_122_T5,0.46669200929802,-0.330969635042605,,A,Ac_122_T5
Ac_129_T5,0.303662922649904,-0.517608232354274,,A,Ac_129_T5
Ac_143_T5,0.226965145880749,-0.644040830533146,,A,Ac_143_T5
Ac_149_T5,0.255260581193829,-0.5930162462681,,A,Ac_149_T5
Ac_162_T5,0.11344324969223,-0.945221341194959,,A,Ac_162_T5
Ac_169_T5,0.175743431114947,-0.755120898933154,,A,Ac_169_T5
Ac_176_T5,0.310366052486853,-0.508125787490859,,A,Ac_176_T5
Ac_182_T5,0.425149654558215,-0.371458169459411,,A,Ac_182_T5
Ac_189_T5,0.427069469480569,-0.369501474487594,,A,Ac_189_T5
Ac_204_T5,0.07631141408204,-1.11741049871476,,A,Ac_204_T5
Ac_220_T5,0.232861279426904,-0.632902720693579,,A,Ac_220_T5
Ac_226_T5,0.201806237389838,-0.695065414798191,,A,Ac_226_T5
Ac_248_T5,0.300001718655779,-0.522876257278394,,A,Ac_248_T5
Ac_261_T5,0.114867507837329,-0.939802801273008,,A,Ac_261_T5
Ac_267_T5,0.102773674535102,-0.988118115577077,,A,Ac_267_T5
Ac_273_T5,0.094965195123738,-1.02243553508277,,A,Ac_273_T5
Ac_281_T5,0.173925656424154,-0.759636348868115,,A,Ac_281_T5
Ac_287_T5,0.560405364345022,-0.251497716187313,,A,Ac_287_T5
Ac_102_T5,0.193988451107999,-0.712224124551037,,A,Ac_102_T5
Ac_108_T5,0.374631124878494,-0.426396143668087,,A,Ac_108_T5
Ac_119_T5,0.319091629886396,-0.496084587664299,,A,Ac_119_T5
Ac_125_T5,0.169404331766311,-0.771075488703346,,A,Ac_125_T5
Ac_152_T5,0.367303021932878,-0.434975498544511,,A,Ac_152_T5
Ac_160_T5,0.11789240396475,-0.928514176435607,,A,Ac_160_T5
Ac_166_T5,0.272729501276429,-0.564267881682191,,A,Ac_166_T5
Ac_173_T5,0.11482770469049,-0.939953316270839,,A,Ac_173_T5
Ac_179_T5,0.243423890395612,-0.613636800971083,,A,Ac_179_T5
Ac_186_T5,0.577159779243223,-0.238703941371596,,A,Ac_186_T5
Ac_217_T5,0.394758619009687,-0.403668378995457,,A,Ac_217_T5
Ac_223_T5,0.344611480716178,-0.462670258145596,,A,Ac_223_T5
Ac_231_T5,0.149533711234739,-0.825260887922863,,A,Ac_231_T5
Ac_264_T5,0.359619378866786,-0.444156913412263,,A,Ac_264_T5
Ac_270_T5,0.239740021049723,-0.62025946087569,,A,Ac_270_T5
Ac_277_T5,0.712292976939409,-0.147341337687576,,A,Ac_277_T5
Ac_284_T5,0.499668325038112,-0.301318180469703,,A,Ac_284_T5
Ac_290_T5,0.321756828332264,-0.492472227716332,,A,Ac_290_T5
Ac_106_T5,0.193518402593131,-0.713277729535862,,A,Ac_106_T5
Ac_117_T5,0.072220022040296,-1.14134238337004,,A,Ac_117_T5
Ac_123_T5,0.138412166836429,-0.858825732439396,,A,Ac_123_T5
Ac_130_T5,0.315900619365541,-0.500449522601426,,A,Ac_130_T5
Ac_144_T5,0.217719520780827,-0.662102630272984,,A,Ac_144_T5
Ac_150_T5,0.05136903103263,-1.28929862623889,,A,Ac_150_T5
Ac_158_T5,0.200899053304691,-0.697022109770006,,A,Ac_158_T5
Ac_164_T5,0.541879010418286,-0.266097670977017,,A,Ac_164_T5
Ac_170_T5,0.28391730115438,-0.546808141933679,,A,Ac_170_T5
Ac_177_T5,0.346047663962707,-0.460864078171615,,A,Ac_177_T5
Ac_183_T5,0.22688649938446,-0.644191345530978,,A,Ac_183_T5
Ac_190_T5,0.126353950004027,-0.89841117686921,,A,Ac_190_T5
Ac_206_T5,0.122898794596501,-0.910452376695769,,A,Ac_206_T5
Ac_221_T5,0.355653106666228,-0.448973393342885,,A,Ac_221_T5
