,Day,Treatment,emmean,SE,df,lower.CL,upper.CL,.group,n,% change respect Control,% change respect Day 82
Areal symbiont density (cells / cm2),82,A,4.13,0.39,27.00,3.33,4.94,23,7,NA,NA
,82,N,4.83,0.37,27.00,4.07,5.58,3,8,16.78%,NA
,82,N+P,5.42,0.37,27.00,4.66,6.17,3,8,31.00%,NA
,113,A,1.07,0.37,27.00,0.31,1.82,1,8,NA,-74.17%
,113,N,NA,NA,NA,NA,NA,,0,NA,NA
,113,N+P,0.78,1.04,27.00,-1.36,2.92,12,1,-26.96%,-85.60%
Areal Chl-a concentration (ug / cm2),,A,,,,,,,,,
,,N,,,,,,,,,
,,N+P,,,,,,,,,
,,A,,,,,,,,,
,,N,,,,,,,,,
,,N+P,,,,,,,,,
