Fragment,Colony,Treatment,Replicate
O.fav_20-11,O.fav_20,NP,R2
O.fav_20-14,O.fav_20,Control,R1
O.fav_20-17,O.fav_20,NP,R1
O.fav_20-19,O.fav_20,Control,R1
O.fav_20-2,O.fav_20,N,R1
O.fav_20-21,O.fav_20,Control,R2
O.fav_20-28,O.fav_20,N,R1
O.fav_20-29,O.fav_20,N,R2
O.fav_20-3,O.fav_20,Control,R2
O.fav_20-30,O.fav_20,Control,R1
O.fav_20-34,O.fav_20,NP,R1
O.fav_20-4,O.fav_20,Control,R2
O.fav_20-40,O.fav_20,NP,R1
O.fav_20-41,O.fav_20,N,R2
O.fav_20-43,O.fav_20,NP,R2
O.fav_20-45,O.fav_20,N,R2
O.fav_20-46,O.fav_20,N,R1
O.fav_20-50,O.fav_20,NP,R2
O.fav_31-10,O.fav_31,N,R2
O.fav_31-11,O.fav_31,NP,R2
O.fav_31-13,O.fav_31,Control,R2
O.fav_31-17,O.fav_31,NP,R1
O.fav_31-2,O.fav_31,NP,R2
O.fav_31-24,O.fav_31,Control,R2
O.fav_31-25,O.fav_31,N,R1
O.fav_31-3,O.fav_31,N,R2
O.fav_31-30,O.fav_31,N,R1
O.fav_31-34,O.fav_31,Control,R1
O.fav_31-39,O.fav_31,NP,R1
O.fav_31-40,O.fav_31,NP,R1
O.fav_31-41,O.fav_31,Control,R1
O.fav_31-43,O.fav_31,N,R1
O.fav_31-45,O.fav_31,Control,R1
O.fav_31-46,O.fav_31,Control,R2
O.fav_31-49,O.fav_31,NP,R2
O.fav_31-8,O.fav_31,N,R2
O.fav_34-10,O.fav_34,N,R2
O.fav_34-11,O.fav_34,Control,R2
O.fav_34-20,O.fav_34,Control,R1
O.fav_34-21,O.fav_34,NP,R2
O.fav_34-22,O.fav_34,NP,R1
O.fav_34-23,O.fav_34,Control,R2
O.fav_34-24,O.fav_34,N,R2
O.fav_34-25,O.fav_34,N,R2
O.fav_34-32,O.fav_34,NP,R2
O.fav_34-36,O.fav_34,Control,R1
O.fav_34-38,O.fav_34,N,R1
O.fav_34-4,O.fav_34,NP,R1
O.fav_34-44,O.fav_34,N,R1
O.fav_34-49,O.fav_34,Control,R1
O.fav_34-5,O.fav_34,N,R1
O.fav_34-7,O.fav_34,NP,R2
O.fav_34-8,O.fav_34,Control,R2
O.fav_34-9,O.fav_34,NP,R1
O.fav_6-112,O.fav_6,Control,R1
O.fav_6-115,O.fav_6,NP,R1
O.fav_6-116,O.fav_6,Control,R2
O.fav_6-118,O.fav_6,N,R2
O.fav_6-12,O.fav_6,N,R2
O.fav_6-19,O.fav_6,N,R2
O.fav_6-40,O.fav_6,Control,R2
O.fav_6-49,O.fav_6,NP,R2
O.fav_6-6,O.fav_6,Control,R1
O.fav_6-61,O.fav_6,NP,R1
O.fav_6-72,O.fav_6,NP,R2
O.fav_6-81,O.fav_6,N,R1
O.fav_6-82,O.fav_6,NP,R2
O.fav_6-83,O.fav_6,Control,R1
O.fav_6-85,O.fav_6,Control,R2
O.fav_6-86,O.fav_6,NP,R1
O.fav_6-9,O.fav_6,N,R1
O.fav_6-96,O.fav_6,N,R1
