Fragment,Colony,Treatment,Replicate
S.sid_20-1,S.sid_20,Control,R1
S.sid_20-11,S.sid_20,NP,R1
S.sid_20-13,S.sid_20,Control,R1
S.sid_20-15,S.sid_20,N,R1
S.sid_20-17,S.sid_20,NP,R1
S.sid_20-19,S.sid_20,Control,R1
S.sid_20-2,S.sid_20,N,R1
S.sid_20-22,S.sid_20,N,R1
S.sid_20-23,S.sid_20,NP,R1
S.sid_20-26,S.sid_20,Control,R2
S.sid_20-29,S.sid_20,N,R2
S.sid_20-3,S.sid_20,NP,R1
S.sid_20-30,S.sid_20,NP,R2
S.sid_20-32,S.sid_20,Control,R2
S.sid_20-33,S.sid_20,N,R2
S.sid_20-36,S.sid_20,NP,R2
S.sid_20-38,S.sid_20,Control,R2
S.sid_20-39,S.sid_20,N,R2
S.sid_20-4,S.sid_20,Control,R1
S.sid_20-41,S.sid_20,NP,R2
S.sid_20-45,S.sid_20,Control,R2
S.sid_20-46,S.sid_20,N,R2
S.sid_20-48,S.sid_20,NP,R2
S.sid_20-8,S.sid_20,N,R1
S.sid_22-11,S.sid_22,N,R1
S.sid_22-12,S.sid_22,NP,R1
S.sid_22-16,S.sid_22,Control,R1
S.sid_22-17,S.sid_22,N,R1
S.sid_22-18,S.sid_22,NP,R1
S.sid_22-2,S.sid_22,Control,R1
S.sid_22-21,S.sid_22,Control,R1
S.sid_22-24,S.sid_22,N,R1
S.sid_22-25,S.sid_22,NP,R1
S.sid_22-26,S.sid_22,Control,R2
S.sid_22-27,S.sid_22,N,R2
S.sid_22-3,S.sid_22,N,R1
S.sid_22-31,S.sid_22,NP,R2
S.sid_22-32,S.sid_22,Control,R2
S.sid_22-33,S.sid_22,N,R2
S.sid_22-34,S.sid_22,NP,R2
S.sid_22-35,S.sid_22,Control,R2
S.sid_22-36,S.sid_22,N,R2
S.sid_22-38,S.sid_22,NP,R2
S.sid_22-39,S.sid_22,Control,R2
S.sid_22-41,S.sid_22,N,R2
S.sid_22-42,S.sid_22,NP,R2
S.sid_22-6,S.sid_22,NP,R1
S.sid_22-8,S.sid_22,Control,R1
S.sid_23-54,S.sid_23,Control,R1
S.sid_23-55,S.sid_23,N,R1
S.sid_23-56,S.sid_23,NP,R1
S.sid_23-57,S.sid_23,Control,R1
S.sid_23-58,S.sid_23,N,R1
S.sid_23-59,S.sid_23,NP,R1
S.sid_23-60,S.sid_23,Control,R1
S.sid_23-61,S.sid_23,N,R1
